A45	G01	G02	G03	G100	G16	G20	A44	A46	E01	N03	N05	A20	A21	A22	A23	A24	A25	A26	A28a	A29	A31	A32	A33	A34	A38	Gzim	G21	G21a	G23	G24	G25	G26	G26a	G28	G29	G30	G31	A03	A04	A05	A06	A07a	A08	A09	A10	A10a	A11	A12	A13	A14	A15	A18	C08	A49	A50	A51a	A52	A53	A55	A56	G05a	G08	G09	G13b	G13a	G32	G35	G37	G39	G40	G45	G46	G47	G48	G49	G50	A01	A02	A07	A16	A17	A19	A27	A28	A30	A35	A36	A37	A39	A41	A40	A42	A43	A47	A48	A54	A57	A58	G27	E03	E04	E09	N10	Nroth	A51
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	15	14	13	12	9	3	1	0	1	2	2	3	4	5	5	4	19	20	18	17	16	17	14	17	13	15	13	12	8	7	6	5	6	7	4	5	11	10	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	15	14	13	10	4	2	1	0	3	1	4	5	6	6	5	20	21	19	18	17	18	15	18	14	16	14	13	9	8	7	6	7	8	5	6	12	11	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	13	12	11	10	7	1	1	2	3	0	4	1	2	3	3	2	18	19	17	16	15	16	12	13	11	14	11	10	6	5	4	3	4	5	2	3	9	8	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	17	16	15	14	11	5	3	2	1	4	0	5	6	7	7	6	21	22	20	19	18	19	16	19	15	17	15	14	10	9	8	7	8	9	6	7	13	12	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	13	12	11	8	1	2	3	4	1	5	0	1	2	4	1	19	20	18	17	16	17	13	14	12	15	12	11	7	6	5	4	5	6	3	4	10	9	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	15	14	13	12	9	2	3	4	5	2	6	1	0	1	5	1	20	21	19	18	17	18	14	15	13	16	13	12	9	8	7	5	6	7	4	5	11	10	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	16	15	14	13	10	3	4	5	6	3	7	2	1	0	6	2	21	22	20	19	18	19	15	16	14	17	14	13	9	8	7	6	7	8	5	6	12	11	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	12	11	10	9	6	2	4	5	6	3	7	4	5	6	0	6	17	18	16	15	14	15	11	12	10	13	10	9	4	3	2	2	3	4	1	1	8	7	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	15	14	13	12	9	2	3	4	5	2	6	1	1	2	6	0	20	21	19	18	17	18	14	15	13	16	13	12	9	8	7	5	6	7	4	5	11	10	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	9	10	11	10	11	16	18	19	20	18	21	19	20	21	17	20	0	1	1	2	3	4	6	5	7	4	9	8	18	17	16	15	14	13	18	19	9	10	12	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	11	12	11	12	17	19	20	21	19	22	20	21	22	18	21	1	0	1	3	4	5	7	6	8	5	10	9	19	18	17	16	15	14	19	20	10	11	13	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	9	10	9	10	15	17	18	19	17	20	18	19	20	16	19	1	1	0	1	2	3	5	4	6	3	8	7	17	16	15	14	13	12	15	16	8	9	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	7	8	9	8	9	14	16	17	18	16	19	17	18	19	15	18	2	3	1	0	1	2	4	3	5	2	7	6	16	15	14	13	12	11	14	15	7	8	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	7	8	7	8	13	15	16	17	15	18	16	17	18	14	17	3	4	2	1	0	1	3	2	4	1	6	5	15	14	13	12	11	10	13	14	6	7	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
