FST,DPS,DISTANCE,DEPTH_F,HLI_F,CTI_F,DEPTH_T,HLI_T,CTI_T,hli,cti,dd5,err27,rsp,ridge,hab_ratio
0.123333,0.2699,5019.669998,16.97,1305,12.3458347,4.999999998,1315.000001,8.895872099,2226.859999,5.329999999,484.8800002,0.39,41.89,0.08,6.896551727
0.254587,0.50375,3976.69,4.999999998,1315.000001,8.895872099,22.85999999,1303.999999,8.041725198,1701.23,6.299999997,486.0499999,0.36,42.92999999,0.06,0.000357143
0.227065,0.39921,1216.13,24.29999999,1316,12.25486279,4.999999998,1315.000001,8.895872099,1958.53,6.290000002,473.25,0.38,27,0.07,0.000833333
0.246014,0.47442,3577.3,4.999999998,1315.000001,8.895872099,4.020000001,1286,5.945085001,1939.66,5.999999999,452.7100001,0.38,32.66000001,0.05,0.000333333
0.1277,0.43576,590.6300001,4.999999998,1315.000001,8.895872099,5.999999999,1310,9.210340498,1977.15,5.35,496.8799999,0.34,36.94999999,0.1,0.0005
0.255539,0.34259,6134.109998,5.700000001,1174,4.995123402,4.999999998,1315.000001,8.895872099,2294.479999,5.270000002,495.9499999,0.41,41.54999999,0.08,0.000285714
0.125689,0.30219,1557.4,3.08,1332,17.5767098,4.999999998,1315.000001,8.895872099,1598.15,7.060000003,509.6500002,0.33,13.51,0.05,0.000277778
0.060621,0.16194,2315.969999,1.860000001,1265,7.475525898,2.000000001,1685,10.9622784,1490.839999,5.890000002,540.5099998,0.49,42.38000001,1.00E-04,0.000120482
0.102801,0.29182,2912.55,6.030000002,1307,8.520578401,2.000000001,1685,10.9622784,1560.27,5.96,556.4,0.48,36.07999999,1.00E-04,0.000135135
0.058314,0.21708,1977.500001,3.299999998,1294,5.179369501,2.000000001,1685,10.9622784,1634.07,5.530000003,509.3200002,0.5,52.14999998,0.01,0.000151515
0.268457,0.48333,5225.98,2.000000001,1685,10.9622784,1.00E-04,1245,4.845000701,1788.38,5.490000003,465.8400002,0.43,43.64,0.04,0.000238095
0.082679,0.25374,2790.409999,1.980000001,1309,8.144791596,2.000000001,1685,10.9622784,1594.87,6.339999997,555.2600003,0.47,37.60999998,1.00E-04,0.000131579
0.073986,0.26275,1563.560001,3.070000001,1170,6.675704501,2.000000001,1685,10.9622784,1639.66,5.999999999,492.1699999,0.53,51.96000001,1.00E-04,0.00015625
0.21085,0.39261,3631.169999,2.000000001,1685,10.9622784,3.570000001,1344,5.836809599,2267.589999,5.100000001,489.2999999,0.4,45.13000001,0.07,0.000188679
0.243873,0.3776,3709.48,2.000000001,1685,10.9622784,2.000000001,1525,5.3280978,2377.95,5.159999997,496.6800002,0.44,41.65000002,0.02,0.000238095
0.292321,0.48716,4638.590001,2.000000001,1685,10.9622784,2.000000001,1451,6.376057101,2022.490001,5.57,505.6000001,0.4,35.72,0.07,5.357142858
0.197198,0.33483,3749.150001,4.700000001,1262,9.949107205,2.000000001,1685,10.9622784,1763.070001,5.750000001,531.4800001,0.45,47.11999998,0.04,0.00015873
0.063652,0.20176,1962.340001,8.000000003,1269.999999,7.547134902,2.000000001,1685,10.9622784,1602.45,6.08,477.1099999,0.51,56.24000003,0.03,0.000185185
0.222058,0.44939,3449.050001,2.000000001,1685,10.9622784,3.000000001,1329,8.945763596,1946,5.070000002,498.34,0.41,58.61999998,0.06,0.000227273
0.242274,0.35632,3936.859999,2.000000001,1210,6.526194999,2.000000001,1685,10.9622784,1617.529999,6.090000002,555.7599998,0.45,35.53,0.0075758,0.000133333
0.241831,0.3554,4549.900001,3.890000001,1548,9.763032001,2.000000001,1685,10.9622784,1753.500001,5.999999999,529.9100001,0.43,45.22999998,0.03,3.225806453
0.21929,0.42981,4460.18,2.000000001,1685,10.9622784,4.999999998,1315.000001,11.247303,1751.12,5.519999998,458.92,0.4,44.81999998,0.06,0.000277778
0.19387,0.35676,5159.310002,12.69999999,1285,12.42983821,2.000000001,1685,10.9622784,1902.48,5.400000002,532.4099999,0.45,50.65000002,0.02,0.000175439
0.273421,0.37579,5278.299999,0.25,1606.000001,7.547778601,2.000000001,1685,10.9622784,1883.1,5.820000001,522.1100002,0.42,39.73000001,0.03,5.084745764
0.372054,0.5984,5011.790002,2.000000001,1685,10.9622784,3.350000001,1352.000001,7.438544299,1730.880001,5.290000001,507.7899999,0.41,37.72000001,0.04,1.612903226
0.174862,0.32979,4693.26,16.97,1305,12.3458347,2.000000001,1685,10.9622784,1853.36,5.329999999,546.0700002,0.45,50.63,0.05,0.017857143
0.20865,0.41907,5691.309999,2.000000001,1685,10.9622784,22.85999999,1303.999999,8.041725198,2301.12,6.470000003,475.8599998,0.38,41.26000001,0.05,0.000277778
0.078101,0.21664,1971.669999,24.29999999,1316,12.25486279,2.000000001,1685,10.9622784,1954.009999,5.57,469.07,0.44,40.5,0.04,0.000277778
0.228406,0.44075,3806.220001,2.000000001,1685,10.9622784,4.020000001,1286,5.945085001,2248.78,5.170000002,499.0299999,0.44,39.37,0.06,0.00025
0.0543,0.37979,2499.440001,2.000000001,1685,10.9622784,5.999999999,1310,9.210340498,2029.200001,5.719999998,480.2000001,0.39,35.24999999,0.05,0.000227273
0.270511,0.36053,5675.580001,5.700000001,1174,4.995123402,2.000000001,1685,10.9622784,2030.79,5.270000002,561.29,0.49,48.92000001,0.07,0.00015873
0.146672,0.30751,937.7800001,2.000000001,1685,10.9622784,3.08,1332,17.5767098,1628.59,5.829999998,478.93,0.43,44.59000002,0.18,0.000153846
0.064165,0.22217,835.4700002,6.030000002,1307,8.520578401,1.860000001,1265,7.475525898,1388.25,6.010000003,579.4500001,0.33,44,1.00E-04,1.00E-04
0.006537,0.10841,694.6800001,1.860000001,1265,7.475525898,3.299999998,1294,5.179369501,1859.62,5.57,578.0399998,0.44,38.04000001,0.04,0.000120482
0.229875,0.50531,6955.12,1.860000001,1265,7.475525898,1.00E-04,1245,4.845000701,2073.93,5.659999999,471.2600001,0.42,39.65,0.03,0.00030303
0.05394,0.17788,663.8699999,1.980000001,1309,8.144791596,1.860000001,1265,7.475525898,1432.65,5.880000001,577.39,0.38,49.21000001,1.00E-04,1.00E-04
